# Species	Genes	Alg.-Conn.	babesia_bigemina_protein.faa	babesia_bovis_T2Bo_protein.faa	babesia_microti_strain_RI_protein.faa	babesia_ovata_protein.faa	babesia_sp._Xinjiang_protein.faa	besnoitia_besnoiti_protein.faa	cryptosporidium_felis_protein.faa	cryptosporidium_hominis_TU502_protein.faa	cryptosporidium_muris_RN66_protein.faa	cryptosporidium_parvum_Iowa_II_protein.faa	cryptosporidium_ubiquitum_protein.faa	eimeria_acervulina_protein.faa	eimeria_brunetti_protein.faa	eimeria_maxima_protein.faa	eimeria_mitis_protein.faa	eimeria_necatrix_protein.faa	eimeria_praecox_protein.faa	eimeria_tenella_protein.faa	gregarina_niphandrodes_protein.faa	neospora_caninum_Liverpool_protein.faa	plasmodium_berghei_ANKA_protein.faa	plasmodium_chabaudi_protein.faa	plasmodium_coatneyi_protein.faa	plasmodium_cynomolgi_protein.faa	plasmodium_falciparum_protein.faa	plasmodium_fragile_protein.faa	plasmodium_gaboni_protein.faa	plasmodium_gallinaceum_protein.faa	plasmodium_inui_San_Antonio_1_protein.faa	plasmodium_knowlesi_protein.faa	plasmodium_malariae_protein.faa	plasmodium_reichenowi_protein.faa	plasmodium_relictum_protein.faa	plasmodium_sp._gorilla_clade_G2_protein.faa	plasmodium_vinckei_protein.faa	plasmodium_vivax_protein.faa	plasmodium_yoelii_protein.faa	porospora_cf._gigantea_A_protein.faa	porospora_cf._gigantea_B_protein.faa	theileria_annulata_protein.faa	theileria_equi_strain_WA_protein.faa	theileria_orientalis_strain_Shintoku_protein.faa	theileria_parva_strain_Muguga_protein.faa	toxoplasma_gondii_ME49_protein.faa	type	number_of_genoms	number_of_proteins	number_of_genus	function
42	42	0.178	CDR95135.1	EDO06255.1	SIO73798.1	GBE61643.1	ORM40716.1	PFH32809.1	KAF7456728.1	EAL36029.1	EEA05926.1	EAZ51532.1	OII73252.1	CDI83315.1	CDJ51283.1	CDJ58694.1	*	CDJ66911.1	*	CDJ42358.1	EZG66596.1	CBZ52471.1	VUC54558.1	CDS45992.1	ANQ07209.1	GAB65516.1	CZT98562.1	KJP86676.1	KYN99686.1	CRG97320.1	EUD66179.1	CAA9987203.1	SCN45132.1	KYN97761.1	CRG99168.1	SOV15142.1	VEV55266.1	EDL42440.1	VTZ74316.1	KAH0478515.1	KAH0480267.1	CAI76339.1	AFZ81149.1	BAM42237.1	EAN31645.1	EPT30236.1	full_gca_44	42	42	10	tRNA N6-adenosine threonylcarbamoyltransferase, putative
29	30	0.135	CDR95855.1	EDO06850.1	SJK85833.1	GBE59739.1	ORM39678.1	PFH38541.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC54878.1	CDR11790.1	ANQ06282.1	GAB64855.1	CAD50975.1	KJP87859.1	KYO01367.1	CRG94447.1	EUD65260.1	CAA9986607.1	SBT86336.1	KYO00533.1	CRH02980.1	SOV13183.1	VEV55582.1	EDL43070.1	VTZ75536.1	KAH0472057.1,KAH0472056.1	KAH0488250.1	CAI73795.1	AFZ80348.1	BAM38763.1	*	EPT28826.1	full_gca_44	29	30	6	conserved Plasmodium protein, unknown function
40	40	0.109	CDR95718.1	EDO06957.1	CCF73425.1	GBE59619.1	ORM39776.1	PFH37321.1	KAF7457639.1	EAL37112.1	EEA07392.1	EAK88486.1	OII74537.1	*	CDJ46826.1	*	CDJ34039.1	CDJ63003.1	*	CDJ39157.1	EZG70480.1	CBZ53749.1	VUC56164.1	CDU21651.1	ANQ10713.1	GAB68434.1	CZT99975.1	KJP86166.1	KYN95875.1	CRG95782.1	EUD66413.1	CAA9990344.1	SCP02675.1	KYN93932.1	CRH03874.1	SOV19039.1	VEV56873.1	EDL46968.1	VTZ78916.1	KAH0474471.1	*	CAI73664.1	AFZ80194.1	BAM38892.1	EAN33643.2	EPT28535.1	full_gca_44	40	40	10	Acidic leucine-rich nuclear phosphoprotein 32-related protein
43	46	0.114	CDR94223.1	EDO06451.1	CCF73126.1	GBE60615.1	ORM40490.1	PFH38369.1	KAF7456284.1	EAL35358.1	EEA06614.1	EAZ51242.1	OII71706.1	CDI84011.1	CDJ51287.1	CDJ59087.1	CDJ33402.1	CDJ63282.1	*	CDJ39557.1	EZG55199.1	CBZ55837.1	VUC57410.1	CDR15217.1	ANQ09601.1	GAB68987.1,GAB68197.1	CZU00085.1	KJP87694.1	KYN95983.1	CRG94584.1	EUD69536.1	CAA9989761.1	SCO94183.1	KYN94042.1	CRH01537.1	SOV19272.1	VEV58109.1	EDL46275.1	VTZ80444.1	KAH0474572.1,KAH0482108.1,KAH0484724.1	KAH0485608.1	CAI76104.1	AFZ80715.1	BAM42497.1	EAN31388.1	EPT24775.1	full_gca_44	43	46	10	peroxiredoxin, putative
44	46	0.151	CDR95725.1	EDO06954.1	CCF73422.1	GBE59626.1	ORM39775.1	PFH35330.1	KAF7456532.1	EAL38309.1	EEA05395.1,EEA05394.1	EAK89509.1	OII73775.1	CDI76292.1	CDJ48903.1	CDJ61946.1	CDJ28008.1	CDJ62177.1	CDI73815.1	CDJ37163.1	EZG43958.1	CBZ54394.1	VUC58162.1	CDR16420.1	ANQ10172.1	GAB68785.1	CAD52253.1	KJP90032.1	KYN96919.1	CRG97507.1	EUD68805.1	CAA9990724.1	SCP03231.1	KYN94558.1	CRH02367.1	SOV17502.1	VEV58901.1	EDL47320.1	VTZ81434.1	KAH0482928.1,KAH0482929.1	KAH0481661.1	CAI73666.1	AFZ80197.1	BAM38889.1	EAN33641.1	EPT26945.1	full_gca_44	44	46	10	M1-family alanyl aminopeptidase, putative
32	32	0.365	CDR94673.1	EDO07499.1	SJK86013.1	GBE60177.1	*	*	KAF7458401.1	EAL36080.1	EEA06413.1	EAK88837.1	OII72512.1	*	*	*	*	*	*	*	*	*	VUC58290.1	CDR16611.1	ANQ09734.1	GAB68910.1	CAD51230.1	KJP85587.1	KYO00738.1	CRG97640.1	EUD68936.1	CAA9990855.1	SCP03361.1	KYN99234.1	CRH02500.1	SOV13617.1	VEV59006.1	EDL47446.1	VTZ81562.1	KAH0480773.1	KAH0482787.1	CAI72939.1	EKX74267.1	BAM39646.1	EAN34395.2	*	full_gca_44	32	32	5	phospholipase DDHD1, putative
25	25	0.155	*	*	CCF73223.1	*	*	PFH36477.1	*	*	*	*	*	CDI81719.1	*	CDJ59984.1	*	CDJ67125.1	*	CDJ44657.1	*	CBZ52032.1	VUC53756.1	CDR10395.1	ANQ08887.1	GAB67512.1	CAG25202.1	KJP88897.1	KYO01725.1	CRG93612.1	EUD66300.1	CAA9989302.1	SCO93343.1	KYO00907.1	CRH01102.1	SOV12317.1	VEV54423.1	EDL46330.1	VTZ71460.1	*	*	*	*	*	*	EPT30477.1	full_gca_44	25	25	6	mitochondrial chaperone BCS1, putative
31	33	0.278	CDR93891.1,CDR95270.1	EDO08569.1	CCF72982.1	GBE60932.1,GBE61523.1	ORM41826.1	PFH32566.1	*	*	*	*	*	*	*	*	*	CDJ64721.1	*	CDJ42836.1	*	CBZ50472.1	VUC54613.1	CDS46068.1	ANQ06952.1	GAB65575.1	CZT98627.1	KJP86591.1	KYN99740.1	CRG97378.1	EUD64502.1	CAA9987266.1	SCN45253.1	KYN97811.1	CRG99222.1	SOV15248.1	VEV55319.1	EDL42382.1	VTZ74426.1	*	*	CAI74844.1	AFZ79017.1	BAM39851.1	EAN32420.1	EPT31638.1	full_gca_44	31	33	7	pyruvate kinase 2, putative
35	35	0.0294	CDR97460.1	EDO08542.1	*	*	ORM40009.1	PFH34601.1	KAF7457449.1	EAL35996.1	EEA07123.1	EAK88588.1	OII74484.1	*	CDJ47040.1	*	*	*	*	CDJ38850.1	EZG72995.1	CBZ52420.1	VUC55378.1	CDR12703.1	ANQ07296.1	*	CAD51892.1	KJP88592.1	KYO00191.1	CRG96757.1	EUD68032.1	CAA9987480.1	SBT87863.1	KYN98499.1	CRG99420.1	SOV14301.1	VEV56032.1	EDL45015.1	VTZ77500.1	KAH0473068.1	KAH0487725.1	CAI76901.1	AFZ81741.1	BAM41654.1	*	EPT30186.1	full_gca_44	35	35	10	ubiquitin-conjugating enzyme, putative
39	41	0.134	CDR96282.1	EDO07617.1	CCF76098.1	GBE62753.1	ORM42136.1,ORM42099.1	PFH32290.1	KAF7456253.1	EAL35974.1	EEA06528.1	EAK87375.1	OII72405.1	*	*	CDJ57171.1	*	CDJ64265.1	*	CDJ37296.1	EZG72703.1	CBZ50746.1	VUC56960.1	CDR14489.1	ANQ07666.1	GAB66011.1	CZT98328.1	KJP87824.1	KYN99456.1	CRG94136.1	EUD67491.1	CAA9987712.1	SCN12112.1	KYN97526.1	CRG99630.1	SOV14664.1	VEV57670.1	EDL44659.1	VTZ79894.1	KAH0481732.1	KAH0481237.1,KAH0481236.1	CAI75993.1	EKX73148.1	*	EAN30628.1	EPT31296.1	full_gca_44	39	41	10	eukaryotic translation initiation factor 3 subunit 7, putative
32	32	0.0466	CDR94011.1	EDO06642.1	SJK86391.1	GBE60802.1	*	PFH35563.1	*	*	*	*	*	CDI79049.1	*	*	*	CDJ66004.1	*	CDJ40475.1	EZG43733.1	CBZ53964.1	VUC54479.1	CDS45865.1	ANQ07046.1	GAB65436.1	CZT98480.1	KJP84831.1	KYN99607.1	CRG97239.1	EUD66260.1	CAA9987118.1	SCN44973.1	KYN97682.1	CRG99087.1	SOV14966.1	VEV55187.1	EDL42519.1	VTZ74158.1	*	*	CAI74317.1	AFZ79642.1	BAM40395.1	EAN32949.1	EPT28279.1	full_gca_44	32	32	8	citrate synthase, putative
42	44	0.207	CDR96987.1	EDO08143.1	CCF75777.2	GBE59055.1	*	PFH38304.1	KAF7459043.1	EAL36851.1	EEA07035.1	EAK90616.1	OII74090.1	CDI81804.1	*	CDJ60559.1	CDJ36674.1	CDJ66732.1	CDI73674.1	CDJ42513.1	EZG65939.1	CBZ55903.1	VUC57399.1	CDR15201.1	ANQ09430.1	GAB68208.1	CZU00441.1	KJP86734.1	KYN96327.1	CRG94573.1	EUD69547.1	CAA9989773.1	SCO94194.1	KYN94395.1	CRH01548.1	SOV19959.1	VEV58098.1	EDL46286.1	VTZ80433.1	KAH0478568.1	KAH0488865.1	CAI74596.1	AFZ79282.1,AFZ81418.1,EKX74210.1	BAM40120.1	EAN32672.2	EPT24857.1	full_gca_44	42	44	10	splicing factor 3A subunit 1, putative
23	23	0.301	*	*	*	*	*	PFH31973.1	*	*	*	*	*	*	*	*	*	*	*	*	EZG43855.1	CBZ51254.1	VUC56936.1	CDR14455.1	ANQ07834.1	GAB65987.1	CZT98304.1	KJP87800.1	KYN99432.1	CRG94113.1	EUD67514.1	CAA9987685.1	SCN12088.1	KYN97502.1	CRG99607.1	SOV14616.1	VEV57645.1	EDL44634.1	VTZ79870.1	KAH0486109.1	KAH0488333.1	*	*	*	*	EPT28097.1	full_gca_44	23	23	6	regulator of nonsense transcripts 1, putative
40	40	0.0124	CDR97462.1	EDO08544.1	SIO73507.1	GBE58520.1	ORM40011.1	PFH31158.1	KAF7456513.1	EAL38289.1	EEA05375.1	EAK89707.1	OII73756.1	CDI76780.1	CDJ46155.1	*	*	CDJ68568.1	*	*	EZG76056.1	CBZ50265.1	VUC58310.1	CDR16639.1	ANQ10149.1	GAB68930.1	CAD51250.1	KJP85478.1	KYO00718.1	CRG97660.1	EUD68956.1	CAA9990879.1	SCP03381.1	KYN99214.1	CRH02520.1	SOV13575.1	VEV59026.1	EDL47466.1	VTZ81582.1	KAH0477745.1	KAH0472777.1	CAI76906.1	AFZ81743.1	BAM41652.1	EAN32262.1	EPT31879.1	full_gca_44	40	40	10	karyopherin alpha, putative
40	40	0.00795	CDR97737.1	EDO05524.1	CCF73250.1	GBE62195.1	ORM40499.1	PFH32037.1	KAF7456796.1	EAL36933.1	EEA05424.1	EAZ51223.1	OII70962.1	CDI80414.1	CDJ46914.1	*	*	CDJ66412.1	*	*	EZG72706.1	CBZ51196.1	VUC56474.1	CDR13717.1	ANQ08779.1	GAB67011.1	CAD51420.1	KJP88821.1	KYO02250.1	CRG97832.1	EUD68179.1	CAA9988785.1	SBT86707.1	KYO01486.1	CRH00614.1	SOV11574.1	VEV57180.1	EDL43500.1	VTZ79341.1	KAH0484465.1	KAH0480482.1	CAI73855.1	AFZ80397.1	BAM38703.1	EAN33429.2	EPT28030.1	full_gca_44	40	40	10	DNA mismatch repair protein MSH6, putative
38	39	0.135	CDR98028.1	EDO05778.1	CCF72843.1	*	ORM41264.1	PFH31654.1	KAF7458683.1	EAL35767.1	EEA07158.1	EAK89023.1	OII74280.1	*	*	*	CDJ34691.1	CDJ69660.1	*	*	EZG46113.1	CBZ49691.1	VUC58193.1	CDR16464.1	ANQ09543.1	GAB68815.1	CAD52293.1	KJP90003.1	KYN96950.1	CRG97539.1	EUD68835.1	CAA9990756.1	SCP03262.1	KYN94589.1	CRH02399.1	SOV17576.1	VEV58909.1	EDL47349.1	VTZ81465.1	KAH0474078.1,KAH0474079.1	KAH0480171.1	CAI75699.1	EKX72661.1	BAM41107.1	EAN31225.2	EPT32545.1	full_gca_44	38	39	10	general transcription factor IIH subunit 2, putative
36	38	0.257	CDR95245.1	*	SJK86470.1	*	*	PFH34006.1	KAF7459153.1	EAL35837.1	EEA05225.1	EAK89281.1	OII70800.1	CDI76350.1	CDJ47393.1	CDJ56055.1	*	CDJ69298.1	*	CDJ45301.1	*	CBZ54992.1	VUC57570.1	CDR15458.1	ANQ10392.1	GAB68034.1	CZU00247.1	KJP86897.1	KYN96141.1,KYN96142.1	CRG94748.1	EUD69368.1	CAA9989596.1	SCO94020.1	KYN94201.1,KYN94202.1	CRH01373.1	SOV19595.1	VEV58267.1	EDL46108.1	VTZ80604.1	*	KAH0487979.1	CAI76249.1	AFZ81060.1	*	KAF5153209.1	EPT26229.1	full_gca_44	36	38	9	methyltransferase, putative
44	48	0.394	CDR95618.1	EDO05431.1	SJK86174.1	GBE61217.1	ORM41153.1,ORM41105.1	PFH35758.1	KAF7456474.1	EAL36135.1	EEA06710.1	EAK90372.1	OII74919.1	CDI82842.1,CDI81904.1	CDJ45888.1	CDJ60330.1	CDJ31473.1,CDJ31293.1	CDJ63030.1	CDI86233.1	CDJ39225.1	EZG47683.1,EZG53715.1	CBZ54561.1	VUC57944.1	CDR16023.1	ANQ09863.1	GAB67643.1	CAD52556.1	KJP85253.1	KYN97196.1	CRG95132.1	EUD67723.1	CAA9989913.1	SCO93635.1	KYN94849.1	CRH01666.1	SOV18111.1	VEV58647.1	EDL44478.1	VTZ80982.1	KAH0484363.1	KAH0484061.1	CAI73593.1	AFZ80026.1	BAM38975.1	EAN33737.2	EPT26735.1	full_gca_44	44	48	10	myosin A, putative
42	59	0.305	CDR96548.1	EDO07846.1	CCF76062.1	GBE59402.1	ORM41200.1	PFH33618.1	KAF7459264.1	EAL35584.1	EEA06043.1	EAK87929.1	OII72115.1	CDI81818.1	CDJ53173.1	CDJ60085.1	*	CDJ64589.1	CDI87812.1	CDJ42547.1	EZG68181.1	CBZ55466.1	VUC54640.1,VUC54402.1	CDS46120.1,CDR11405.1	ANQ06898.1,ANQ07455.1	GAB65339.1,GAB65613.1	CAD49257.1,CAD51722.1	KJP85002.1,KJP89477.1	KYO02908.1	CRG94527.1,CRG96581.1	EUD65106.1	CAA9987028.1,CAA9987304.1	SBT87527.1,SBT87691.1	KYN98323.1,KYO02180.1	CRG99010.1,CRG99244.1	SOV11512.1,SOV13934.1	VEV55346.1,VEV55090.1	EDL45396.1,EDL44849.1	VTZ74480.1,VTZ73502.1	KAH0473027.1,KAH0473033.1	KAH0474988.1,KAH0474990.1	CAI76156.1	*	BAM42435.1	EAN31445.2	EPT25654.1	full_gca_44	42	59	10	tubulin alpha chain, putative
31	31	0.424	*	*	*	*	*	PFH37452.1	KAF7459014.1	EAL38256.1	EEA07002.1	EAK90224.1	OII74059.1	CDI83067.1	CDJ50217.1	*	*	CDJ69681.1	*	CDJ45295.1	*	CBZ55779.1	VUC57221.1	CDR14871.1	ANQ08773.1	GAB66893.1	CAX63965.2	KJP87169.1	KYO02370.1	CRG97953.1	EUD68296.1	CAA9988664.1	SCN44839.1	KYN93444.1	CRH00490.1	SOV11737.1	VEV57933.1	EDL44056.1	VTZ80155.1	KAH0481191.1	KAH0481256.1	*	*	*	*	EPT24705.1	full_gca_44	31	31	7	UTP--glucose-1-phosphate uridylyltransferase, putative
38	40	0.184	CDR95982.1	EDO08703.1	CCF75823.1	GBE59846.1	ORM41583.1,ORM41566.1	PFH34502.1,PFH34511.1	KAF7457306.1	EAL38090.1	EEA04935.1	EAK88238.1	OII75344.1	CDI81056.1	*	*	*	*	*	*	EZG55522.1	CBZ52333.1	VUC57738.1	CDR15719.1	ANQ09922.1	GAB67864.1	CZU00417.1	KJP84681.1	KYN96303.1	CRG94918.1	EUD69199.1	CAA9989416.1	SCO93852.1	KYN94371.1	CRH01203.1	SOV19930.1	VEV58440.1	EDL45943.1	VTZ80777.1	KAH0487581.1	KAH0478468.1	CAI74200.1	AFZ79863.1	BAM40522.1	EAN33067.2	EPT30081.1	full_gca_44	38	40	10	pre-mRNA-splicing factor ISY1, putative
42	43	0.104	CDR93837.1	EDO08607.1	CCF72890.1	GBE60999.1	ORM41786.1	PFH37552.1	KAF7458813.1	EAL36392.1	EEA08171.1	EAK89608.1	OII72831.1	CDI80105.1	CDJ46855.1	CDJ57133.1	*	CDJ67059.1	*	CDJ41812.1	EZG79493.1	CBZ55683.1	VUC56181.1	CDU21668.1	ANQ10538.1	GAB68448.1	CZT99957.1	KJP89756.1,KJP89757.1	KYN95859.1	CRG95764.1	EUD64364.1	CAA9990361.1	SCP02692.1	KYN93913.1	CRH03892.1	SOV19011.1	VEV56890.1	EDL46982.1	VTZ78933.1	KAH0488016.1	KAH0473381.1	CAI74887.1	AFZ78972.1	BAM39801.1	EAN32374.1	EPT24603.1	full_gca_44	42	43	10	protein arginine N-methyltransferase 1, putative
38	38	0.101	CDR95193.1	EDO06292.1	CCF75726.1	GBE61593.1	ORM40708.1	PFH36514.1	KAF7458928.1	EAL35398.1	EEA08152.1	EAZ51227.1	OII75549.1	CDI83126.1	*	*	*	*	*	*	EZG46015.1	CBZ51528.1	VUC54591.1	CDS46024.1	ANQ07155.1	GAB65551.1	CZT98597.1	KJP86566.1	KYN99720.1	CRG97356.1	EUD66144.1	CAA9987242.1	SCN45200.1	KYN97793.1	CRG99203.1	SOV15210.1	VEV55298.1	EDL42406.1	VTZ74382.1	KAH0479466.1	KAH0479921.1	CAI76298.1	AFZ81111.1	BAM42280.1	KAF5153220.1	EPT31208.1	full_gca_44	38	38	10	Sec1 family protein, putative
39	39	0.0732	CDR93954.1	EDO06698.1	SJK86416.1	GBE60865.1	*	PFH35636.1	KAF7456700.1	EAL37033.1	EEA07993.1	EAK89953.1	OII73225.1	CDI80182.1	CDJ51974.1	CDJ61250.1	*	*	*	*	EZG43881.1	CBZ53890.1	VUC56859.1	CDR14289.1	ANQ09280.1	GAB67103.1	CAD52800.1	KJP87975.1	KYN97436.1	CRG94039.1	EUD64785.1	CAA9988860.1	SCO92930.1	KYN95088.1	CRG85389.1	SOV18500.1	VEV57564.1	EDL46736.1	VTZ79725.1	KAH0472494.1	KAH0478843.1	CAI74788.1	AFZ79070.1	BAM39914.1	EAN32483.1	EPT28367.1	full_gca_44	39	39	10	26S proteasome regulatory subunit RPN11, putative
27	29	0.477	*	*	*	*	*	PFH33806.1	KAF7458356.1	EAL37547.1	EEA06463.1	EAK88865.1	OII72467.1	*	*	*	*	*	*	*	*	CBZ50046.1	VUC57607.1	CDR15509.1	ANQ10162.1	GAB67996.1	CZU00285.1	KJP88447.1	KYN96180.1	CRG94785.1	EUD69332.1	CAA9989557.1	SCO93983.1	KYN94239.1	CRH01336.1	SOV19669.1	VEV58304.1	EDL46071.1	VTZ80641.1	KAH0477083.1,KAH0477084.1	KAH0473526.1,KAH0473527.1	*	*	*	*	EPT32011.1	full_gca_44	27	29	6	golgi apparatus membrane protein TVP23, putative
36	36	0.385	CDR95679.1	EDO06983.1	SJK85902.1	GBE59589.1	ORM39812.1	PFH33146.1	KAF7458658.1	EAL36564.1	EEA07182.1	EAK89259.1	OII74255.1	*	*	*	CDJ28974.1	*	*	*	EZG45145.1	CBZ53227.1	VUC56876.1	CDR14315.1	ANQ08966.1	GAB67087.1	CAX64396.1	KJP87991.1	KYN97452.1	CRG94055.1	EUD64801.1	CAA9988844.1	SCO92914.1	KYN95104.1	CRG85349.1	SOV18516.1	VEV57581.1	EDL46752.1	VTZ79742.1	KAH0475841.1	KAH0478404.1	*	AFZ80143.1	BAM38922.1	*	EPT29111.1	full_gca_44	36	36	10	U2 small nuclear ribonucleoprotein A', putative
35	36	0.19	CDR97724.1	EDO05511.1	SJK86108.1	GBE62208.1	ORM40287.1	*	KAF7459114.1	EAL36736.1	EEA05286.1	EAK90627.1	OII74835.1	*	*	*	*	CDJ62294.1	*	*	EZG45421.1	*	VUC57992.1	CDR16092.1	ANQ09954.1	GAB67592.1	CAD52599.1	KJP86287.1	KYN97248.1	CRG95183.1	EUD67776.1	CAA9989857.1	SCO93584.1	KYN94899.1	CRH01615.1	SOV18217.1	VEV58695.1	EDL44528.1	VTZ81030.1	KAH0472117.1	KAH0471890.1,KAH0471891.1	CAI76241.1	AFZ81050.1	BAM42346.1	EAN31539.1	*	full_gca_44	35	36	7	ethanolamine-phosphate cytidylyltransferase, putative
39	42	0.464	CDR96766.1	EDO08355.1	CCF75391.1	GBE58767.1	ORM40125.1	PFH35559.1	KAF7457323.1	*	EEA04917.1	EAK88234.1	OII75361.1	CDI82390.1	*	CDJ56218.1	*	*	*	CDJ38513.1	EZG55680.1,EZG72778.1	CBZ53968.1,CBZ53967.1	VUC57042.1	CDR14613.1	ANQ07959.1	GAB66096.1	CZT98412.1	KJP86244.1	KYN99538.1	CRG94217.1	EUD67406.1	CAA9987805.1	SCN12194.1	KYN97612.1	CRG99712.1	SOV14824.1	VEV57752.1	EDL44744.1	VTZ79976.1	KAH0484640.1	KAH0472382.1,KAH0471296.1	CAI76716.1	AFZ81545.1	BAM41840.1	EAN32053.1	EPT28275.1	full_gca_44	39	42	10	enolase
40	40	0.215	CDR97841.1	EDO05668.1	CTQ40610.1	GBE62094.1	ORM40400.1	PFH34228.1	KAF7455702.1	EAL36480.1	EEA08286.1	EAK90165.1	OII73365.1	CDI83254.1	CDJ52254.1	CDJ59340.1	CDJ35744.1	CDJ64851.1	CDI85787.1	CDJ39036.1	*	CBZ55190.1	VUC56798.1	CDR14202.1	ANQ08882.1	GAB67167.1	VWP77935.1	KJP87911.1	KYN93315.1	CRG93974.1	EUD68706.1	CAA9988924.1	SCO92992.1	*	CRH00742.1	SOV18437.1	VEV57503.1	EDL46673.1	VTZ79664.1	*	*	CAI73940.1	AFZ80529.1	BAM38616.1	EAN33336.1	EPT25991.1	full_gca_44	40	40	8	hypothetical protein, conserved
39	40	0.428	CDR96250.1	EDO07594.1	CCF76085.1	GBE62726.1	*	PFH36108.1	KAF7457452.1	*	EEA07126.1	EAZ51314.1	OII74487.1	CDI83599.1	*	CDJ60187.1	CDJ31734.1	*	CDI74472.1	CDJ43042.1	EZG43846.1	CBZ52156.1	VUC57849.1	CDR15876.1	ANQ10160.1	GAB67747.1	CAD52453.1	KJP86307.1	KYN97109.1	CRG95037.1	EUD67625.1	CAA9990010.1	SCO93737.1	*	CRH01761.1	SOV17896.1	VEV58552.1	EDL44374.1	VTZ80887.1	KAH0471255.1	KAH0479571.1,KAH0479570.1	CAI76006.1	EKX73134.1	BAM40811.1	EAN30645.1	EPT29831.1	full_gca_44	39	40	10	signal peptidase, putative
40	43	0.489	CDR97813.1	EDO05677.1	SJK86388.1	GBE62119.1	*	PFH37236.1,PFH37237.1	KAF7457601.1	EAL37777.1	EEA07906.1	EAK88555.1	OII74743.1	CDI83988.1	CDJ53561.1	CDJ61342.1	CDJ29479.1	CDJ65822.1	CDI87732.1	CDJ40769.1	*	CBZ54609.1,CBZ54610.1	VUC57468.1	CDR15303.1	ANQ10318.1	GAB68138.1	CZU00144.1	KJP87753.1	KYN96041.1	CRG94644.1	EUD69477.1	CAA9989702.1	SCO94124.1	KYN94101.1	CRH01477.1	SOV19389.1	VEV58166.1	EDL46217.1	VTZ80502.1	*	*	CAI73932.1	AFZ80518.1	BAM38625.1	EAN33345.1	EPT26688.1,EPT26689.1	full_gca_44	40	43	8	fructose-1,6-bisphosphate aldolase, putative
37	39	0.433	CDR95067.1	EDO06191.1	SIO73156.1	GBE61715.1	ORM41527.1	PFH34843.1	KAF7456314.1	EAL35900.1	EEA04782.1	EAK87306.1	OII72867.1	*	*	*	*	*	*	*	EZG45974.1	CBZ51677.1	VUC55269.1	CDR12540.1	ANQ07271.1	GAB65675.1	CAD51782.1	KJP89409.1	KYO00089.1	CRG96647.1	EUD67923.1	CAA9987369.1	SBT87754.1	KYN98390.1	CRG99309.1	SOV14073.1	VEV56786.1	EDL44909.1	VTZ77282.1	KAH0471795.1,KAH0471794.1	KAH0471563.1,KAH0471562.1	CAI76406.1	AFZ81204.1	BAM42183.1	EAN31716.1	EPT31092.1	full_gca_44	37	39	9	helicase SKI2W, putative
36	36	0.226	CDR94968.1	EDO06087.1	SJK86061.1	GBE61833.1	*	PFH32390.1	KAF7457629.1	EAL35835.1	EEA07381.1	EAK88490.1	OII74526.1	*	*	CDJ58500.1	*	*	*	CDJ36943.1	EZG44280.1	CBZ49577.1	VUC54244.1	CDR11169.1	ANQ07647.1	GAB66297.1	CAB38988.3	KJP85229.1	KYO03153.1	CRG95262.1	EUD65732.1	CAA9988035.1	SCN12398.1	KYO02534.1	CRG99893.1	SOV10684.1	VEV54932.1	EDL43329.1	VTZ73186.1	*	*	CAI76498.1	AFZ81442.1	BAM42080.1	EAN31811.2	EPT32639.1	full_gca_44	36	36	9	palmitoyltransferase DHHC1, putative
38	40	0.322	CDR94993.1	EDO06120.1	CCF73649.1	*	*	PFH32062.1	KAF7456311.1	EAL36098.1	EEA04785.1	EAZ51203.1	OII72864.1	CDI76910.1	CDJ50529.1	CDJ58913.1	*	*	*	*	EZG78507.1	CBZ51175.1	VUC57681.1	CDR15635.1	ANQ10080.1	GAB67923.1	CZU00358.1	KJP86347.1	KYN96249.1	CRG94858.1	EUD69258.1	CAA9989480.1	SCO93911.1	KYN94312.1	CRH01263.1	SOV19813.1	VEV58383.1	EDL46000.1	VTZ80720.1	KAH0486183.1,KAH0486184.1	KAH0476172.1,KAH0476173.1	CAI76460.1	AFZ81481.1	BAM42117.1	EAN31775.1	EPT28004.1	full_gca_44	38	40	10	protein phosphatase containing kelch-like domains, putative
40	40	0.276	CDR94278.1	EDO07220.1	CTQ41442.1	GBE60561.1	*	PFH33956.1	KAF7458625.1	EAL37261.1	EEA07220.1	EAK89067.1	OII74219.1	CDI79809.1	CDJ52869.1	*	*	CDJ68122.1	*	CDJ39901.1	EZG61149.1	CBZ54896.1	VUC57820.1	CDR15834.1	ANQ10014.1	GAB67780.1	CAD52425.1	KJP89883.1	KYN97077.1	CRG95007.1	EUD67594.1	CAA9989331.1	SCO93767.1	KYN94722.1	CRH01791.1	SOV17839.1	VEV58522.1	EDL44345.1	VTZ80858.1	KAH0474736.1	KAH0474751.1	CAI73189.1	EKX74049.1	BAM39398.1	EAN34146.2	EPT26350.1	full_gca_44	40	40	10	proteasome subunit beta type-7, putative
