# Species	Genes	Alg.-Conn.	GCF_000956335.1_Plas_frag_nilgiri_V1_protein.faa	GCF_001680005.1_ASM168000v1_protein.faa	GCF_900002335.2_PCHAS01_protein.faa	GCF_900005855.1_PGAL8A_protein.faa	GCF_900090045.1_PmUG01_protein.faa
4	4	0.778	XP_012333335.1	*	XP_737236.2	XP_028530250.1	XP_028864130.1
5	5	0.842	XP_012337024.1	XP_019916843.1	XP_737235.2	XP_028527661.1	XP_028863200.1
5	5	0.873	XP_012333803.1	XP_019913482.1	XP_737229.2	XP_028526322.1	XP_028860332.1
5	5	0.641	XP_012336823.1	XP_019913852.1	XP_737228.2	XP_028530183.1	XP_028862255.1
5	5	0.776	XP_012334969.1	XP_019916677.1	XP_737209.2	XP_028527613.1	XP_028863248.1
5	5	0.858	XP_012334835.1	XP_019917268.1	XP_737208.2	XP_028528416.1	XP_028863881.1
5	5	0.753	XP_012338187.1	XP_019912492.1	XP_737199.2	XP_028526212.1	XP_028860039.1
5	5	0.757	XP_012334027.1	XP_019912544.1	XP_737196.2	XP_028530807.1	XP_028859949.1
5	5	0.85	XP_012335823.1	XP_019917699.1	XP_736859.2	XP_028529903.1	XP_028864698.1
4	4	0.383	XP_012334820.1	XP_019917339.1	XP_737171.2	*	XP_028863865.1
5	5	0.898	XP_012337390.1	XP_019914562.1	XP_737130.2	XP_028526996.1	XP_028861123.1
5	5	0.934	XP_012338562.1	XP_019913871.1	XP_737127.2	XP_028530043.1	XP_028862112.1
5	5	0.846	XP_012337844.1	XP_019913578.1	XP_737069.2	XP_028527354.1	XP_028860548.1
5	5	0.902	XP_012337945.1	XP_019915052.1	XP_737065.2	XP_028528940.1	XP_028861502.1
5	5	0.551	XP_012333127.1	XP_019915106.1	XP_737063.2	XP_028529169.1	XP_028861728.1
5	5	0.581	XP_012333942.1	XP_019914155.1	XP_737058.2	XP_028529429.1	XP_028860665.1
5	5	0.565	XP_012334805.1	XP_019914193.1	XP_737043.2	XP_028529488.1	XP_028860722.1
5	5	0.84	XP_012333592.1	XP_019917284.1	XP_736455.2	XP_028528515.1	XP_028863781.1
5	5	0.788	XP_012333369.1	XP_019916924.1	XP_736613.2	XP_028530215.1	XP_028864095.1
5	5	0.413	XP_012333748.1	XP_019914564.1	XP_736567.2	XP_028528115.1	XP_028861328.1
5	5	0.851	XP_012333526.1	XP_019916140.1	XP_736519.2	XP_028527709.1	XP_028863153.1
5	5	0.771	XP_012338213.1	XP_019916376.1	XP_736506.2	XP_028527686.1	XP_028863176.1
5	5	0.883	XP_012338214.1	XP_019916923.1	XP_736505.2	XP_028527685.1	XP_028863177.1
5	5	0.771	XP_012338097.1	XP_019913291.1	XP_736481.2	XP_028527169.1	XP_028859633.1
5	5	0.843	XP_012334504.1	XP_019915556.1	XP_736474.2	XP_028526490.1	XP_028862725.1
5	5	0.811	XP_012337997.1	XP_019916289.1	XP_736473.2	XP_028527500.1	XP_028863359.1
5	5	0.869	XP_012334356.1	XP_019913236.1	XP_736459.2	XP_028528657.1	XP_028863643.1
5	5	0.748	XP_012334932.1	XP_019916339.1	XP_736614.2	XP_028527574.1	XP_028863286.1
5	5	0.861	XP_012337269.1	XP_019914924.1	XP_736436.2	XP_028529019.1	XP_028861583.1
5	5	0.772	XP_012336160.1	XP_019917821.1	XP_736424.2	XP_028530533.1	XP_028864406.1
5	5	0.901	XP_012338176.1	XP_019914593.1	XP_736413.2	XP_028528076.1	XP_028861366.1
5	5	0.828	XP_012335319.1	XP_019915816.1	XP_736403.2	XP_028526637.1	XP_028862583.1
5	5	0.738	XP_012337143.1	XP_019914318.1	XP_736381.2	XP_028527011.1	XP_028861138.1
5	5	0.909	XP_012334950.1	XP_019916272.1	XP_736380.1	XP_028527593.1	XP_028863267.1
5	5	0.866	XP_012336144.1	XP_019915809.1	XP_736341.2	XP_028526793.1	XP_028862434.1
5	5	0.835	XP_012335502.1	XP_019912950.1	XP_736333.2	XP_028527260.1	XP_028859514.1
5	5	0.909	XP_012336875.1	XP_019913220.1	XP_736739.2	XP_028528186.1	XP_028859670.1
5	5	0.829	XP_012336879.1	XP_019913303.1	XP_736848.2	XP_028527135.1	XP_028859666.1
5	5	0.855	XP_012334970.1	XP_019917010.1	XP_736838.2	XP_028527614.1	XP_028863247.1
5	5	0.814	XP_012335906.1	XP_019914034.1	XP_736832.1	XP_028529639.1	XP_028860874.1
5	5	0.805	XP_012336908.1	XP_019913829.1	XP_736811.2	XP_028530027.1	XP_028859784.1
5	5	0.713	XP_012338192.1	XP_019912578.1	XP_736803.2	XP_028526207.1	XP_028860044.1
5	5	0.937	XP_012335750.1	XP_019914902.1	XP_736802.2	XP_028529088.1	XP_028861651.1
5	5	0.893	XP_012335291.1	XP_019916010.1	XP_736797.2	XP_028526611.1	XP_028862610.1
5	5	0.802	XP_012337079.1	XP_019916330.1	XP_736747.2	XP_028527871.1	XP_028862995.1
5	5	0.8	XP_012338442.1	XP_019916585.1	XP_735119.2	XP_028530469.1	XP_028864343.1
5	5	0.858	XP_012337708.1	XP_019915448.1	XP_736738.2	XP_028525882.1	XP_028861931.1
5	5	0.811	XP_012336201.1	XP_019917480.1	XP_736695.2	XP_028530573.1	XP_028864446.1
5	5	0.806	XP_012333350.1	XP_019916534.1	XP_736679.2	XP_028530235.1	XP_028864115.1
5	5	0.713	XP_012335162.1	XP_019916235.1	XP_736663.2	XP_028530408.1	XP_028864285.1
5	5	0.73	XP_012334839.1	XP_019917106.1	XP_736640.2	XP_028528411.1	XP_028863885.1
5	5	0.706	XP_012334671.1	XP_019917535.1	XP_736627.2	XP_028529773.1	XP_028864569.1
5	5	0.836	XP_012338028.1	XP_019912509.1	XP_736619.2	XP_028525923.1	XP_028860065.1
5	5	0.855	XP_012335313.1	XP_019915900.1	XP_736616.2	XP_028526631.1	XP_028862589.1
5	5	0.927	XP_012334934.1	XP_019917062.1	XP_733215.2	XP_028527576.1	XP_028863284.1
5	5	0.399	XP_012336852.1	XP_019913073.1	XP_733390.2	XP_028528209.1	XP_028859692.1
5	5	0.818	XP_012337690.1	XP_019915200.1	XP_733386.2	XP_028529378.1	XP_028861912.1
5	5	0.885	XP_012335201.1	XP_019916112.1	XP_733379.2	XP_028530368.1	XP_028864245.1
5	5	0.795	XP_012335511.1	XP_019912977.1	XP_733365.2	XP_028527268.1	XP_028859506.1
5	5	0.907	XP_012335734.1	XP_019914923.1	XP_733361.2	XP_028529071.1	XP_028861634.1
5	5	0.908	XP_012336488.1	XP_019916129.1	XP_733340.2	XP_028527518.1	XP_028863341.1
5	5	0.809	XP_012336301.1	XP_019914619.1	XP_733297.2	XP_028527075.1	XP_028861202.1
5	5	0.86	XP_012337252.1	XP_019917203.1	XP_733271.2	XP_028528587.1	XP_028863711.1
5	5	0.669	XP_012333590.1	XP_019917448.1	XP_733238.2	XP_028528517.1	XP_028863779.1
5	5	0.612	XP_012335503.1	XP_019912972.1	XP_733420.2	XP_028527261.1	XP_028859513.1
5	5	0.874	XP_012337612.1	XP_019915935.1	XP_733176.2	XP_028526666.1	XP_028862555.1
5	5	0.907	XP_012337733.1	XP_019914554.1	XP_733169.2	XP_028528062.1	XP_028861380.1
5	5	0.443	XP_012337771.1	XP_019915254.1	XP_733130.2	XP_028525852.1	XP_028861960.1
5	5	0.85	XP_012335521.1	XP_019912984.1	XP_733128.2	XP_028525967.1	XP_028859495.1
5	5	0.859	XP_012337795.1	XP_019916407.1	XP_733126.2	XP_028530430.1	XP_028864306.1
5	5	0.769	XP_012335169.1	XP_019916177.1	XP_733100.2	XP_028530401.1	XP_028864278.1
5	5	0.886	XP_012333842.1	XP_019913401.1	XP_733060.2	XP_028526284.1	XP_028860370.1
5	5	0.694	XP_012336173.1	XP_019917862.1	XP_733048.2	XP_028530546.1	XP_028864419.1
5	5	0.88	XP_012333340.1	XP_019916961.1	XP_733675.2	XP_028530245.1	XP_028864125.1
5	5	0.685	XP_012337777.1	XP_019915452.1	XP_733822.2	XP_028525846.1	XP_028861966.1
5	5	0.877	XP_012335628.1	XP_019914361.1	XP_733757.2	XP_028526957.1	XP_028861083.1
5	5	0.947	XP_012334773.1	XP_019913967.1	XP_733727.2	XP_028529523.1	XP_028860756.1
5	5	0.721	XP_012337946.1	XP_019914745.1	XP_733724.2	XP_028528939.1	XP_028861501.1
5	5	0.685	XP_012337467.1	XP_019916115.1	XP_733710.2	XP_028527950.1	XP_028862912.1
5	5	0.792	XP_012336161.1	XP_019917806.1	XP_733697.2	XP_028530534.1	XP_028864407.1
5	5	0.615	XP_012334895.1	XP_019917378.1	XP_733681.2	XP_028528358.1	XP_028863937.1
5	5	0.723	XP_012334098.1	XP_019912516.1	XP_733679.2	XP_028530875.1	XP_028860019.1
5	5	0.868	XP_012333651.1	XP_019914373.1	XP_733676.2	XP_028527108.1	XP_028861235.1
5	5	0.58	XP_012333611.1	XP_019917109.1	XP_733044.2	XP_028528497.1	XP_028863799.1
5	5	0.858	XP_012333857.1	XP_019913464.1	XP_733670.2	XP_028526268.1	XP_028860386.1
5	5	0.852	XP_012336932.1	XP_019917605.1	XP_733650.2	XP_028530508.1	XP_028864381.1
5	5	0.842	XP_012336752.1	XP_019913151.1	XP_733604.1	XP_028528730.1	XP_028863571.1
5	5	0.877	XP_012333147.1	XP_019915101.1	XP_733593.2	XP_028529192.1	XP_028861750.1
5	5	0.583	XP_012333716.1	XP_019914525.1	XP_733592.2	XP_028528146.1	XP_028861297.1
5	5	0.86	XP_012333161.1	XP_019914995.1	XP_733536.2	XP_028529204.1	XP_028861762.1
5	5	0.87	XP_012335816.1	XP_019917630.1	XP_733483.2	XP_028529911.1	XP_028864706.1
5	5	0.804	XP_012336475.1	XP_019916714.1	XP_733451.2	XP_028527532.1	XP_028863327.1
5	5	0.775	XP_012338001.1	XP_019916467.1	XP_732379.2	XP_028527496.1	XP_028863363.1
5	5	0.914	XP_012337808.1	XP_019916107.1	XP_732638.2	XP_028530416.1	XP_028864292.1
5	5	0.571	XP_012335283.1	XP_019915624.1	XP_732635.2	XP_028526603.1	XP_028862618.1
5	5	0.77	XP_012338501.1	XP_019914365.1	XP_732586.2	XP_028527048.1	XP_028861175.1
5	5	0.669	XP_012336350.1	XP_019912832.1	XP_732522.2	XP_028530985.1	XP_028859435.1
5	5	0.474	XP_012333838.1	XP_019913620.1	XP_732475.2	XP_028526288.1	XP_028860366.1
4	4	0.847	XP_012333718.1	*	XP_732460.2	XP_028528145.1	XP_028861298.1
5	5	0.795	XP_012335626.1	XP_019914491.1	XP_732450.2	XP_028526955.1	XP_028861081.1
5	5	0.897	XP_012335379.1	XP_019917717.1	XP_732420.2	XP_028526404.1	XP_028864514.1
5	5	0.833	XP_012333151.1	XP_019915172.1	XP_732400.2	XP_028529196.1	XP_028861754.1
5	5	0.88	XP_012334967.1	XP_019916715.1	XP_732691.2	XP_028527610.1	XP_028863250.1
5	5	0.54	XP_012334891.1	XP_019917247.1	XP_732335.2	XP_028528362.1	XP_028863933.1
5	5	0.864	XP_012336516.1	XP_019916814.1	XP_732330.2	XP_028527904.1	XP_028862956.1
5	5	0.542	XP_012333358.1	XP_019916212.1	XP_732327.2	XP_028530227.1	XP_028864107.1
5	5	0.703	XP_012334802.1	XP_019914254.1	XP_732325.2	XP_028529491.1	XP_028860725.1
5	5	0.873	XP_012336245.1	XP_019915500.1	XP_732289.2	XP_028530736.1	XP_028862062.1
5	5	0.251	XP_012334339.1	XP_019913047.1	XP_732274.2	XP_028528674.1	XP_028863626.1
5	5	0.903	XP_012333911.1	XP_019913993.1	XP_732235.2	XP_028529459.1	XP_028860694.1
5	5	0.778	XP_012334118.1	XP_019912757.1	XP_732229.2	XP_028526156.1	XP_028860173.1
4	4	0.637	XP_012333126.1	*	XP_732914.2	XP_028529168.1	XP_028861727.1
5	5	0.921	XP_012335963.1	XP_019913962.1	XP_733034.2	XP_028529582.1	XP_028860817.1
5	5	0.844	XP_012335601.1	XP_019914552.1	XP_733026.2	XP_028526930.1	XP_028861055.1
5	5	0.918	XP_012337389.1	XP_019914444.1	XP_733020.2	XP_028526995.1	XP_028861122.1
5	5	0.87	XP_012334144.1	XP_019912671.1	XP_733008.2	XP_028526129.1	XP_028860198.1
5	5	0.92	XP_012335021.1	XP_019912897.1	XP_733002.2	XP_028530947.1	XP_028859398.1
5	5	0.722	XP_012338021.1	XP_019912542.1	XP_732951.2	XP_028525930.1	XP_028860058.1
5	5	0.317	XP_012333113.1	XP_019915085.1	XP_732934.2	XP_028529151.1	XP_028861712.1
5	5	0.848	XP_012333115.1	XP_019914810.1	XP_732915.2	XP_028529156.1	XP_028861715.1
5	5	0.881	XP_012337569.1	XP_019915773.1	XP_733846.2	XP_028526690.1	XP_028862532.1
5	5	0.73	XP_012336397.1	XP_019915771.1	XP_732902.2	XP_028526515.1	XP_028862701.1
5	5	0.689	XP_012333561.1	XP_019917172.1	XP_732855.2	XP_028528548.1	XP_028863748.1
5	5	0.846	XP_012337625.1	XP_019915859.1	XP_732847.2	XP_028526653.1	XP_028862567.1
5	5	0.824	XP_012337373.1	XP_019914436.1	XP_732844.2	XP_028526980.1	XP_028861106.1
5	5	0.863	XP_012336332.1	XP_019912930.1	XP_732807.2	XP_028531003.1	XP_028859453.1
5	5	0.689	XP_012333423.1	XP_019916569.1	XP_732756.2	XP_028527812.1	XP_028863052.1
5	5	0.865	XP_012334018.1	XP_019912409.1	XP_732751.2	XP_028530798.1	XP_028859940.1
5	5	0.922	XP_012335288.1	XP_019915615.1	XP_732706.2	XP_028526608.1	XP_028862613.1
5	5	0.898	XP_012336261.1	XP_019915480.1	XP_734665.2	XP_028530753.1	XP_028862046.1
5	5	0.889	XP_012333498.1	XP_019916575.1	XP_734857.2	XP_028527739.1	XP_028863123.1
5	5	0.553	XP_012335528.1	XP_019912781.1	XP_734820.2	XP_028525962.1	XP_028859490.1
5	5	0.882	XP_012333114.1	XP_019914737.1	XP_734797.2	XP_028529155.1	XP_028861714.1
5	5	0.908	XP_012337405.1	XP_019913801.1	XP_734790.2	XP_028530049.1	XP_028862119.1
5	5	0.831	XP_012337387.1	XP_019914669.1	XP_734786.2	XP_028526994.1	XP_028861120.1
5	5	0.739	XP_012336023.1	XP_019917524.1	XP_734785.2	XP_028529833.1	XP_028864628.1
5	5	0.897	XP_012336526.1	XP_019916158.1	XP_734732.2	XP_028527915.1	XP_028862946.1
5	5	0.277	XP_012335182.1	XP_019916148.1	XP_734717.2	XP_028530387.1	XP_028864264.1
5	5	0.907	XP_012334096.1	XP_019912524.1	XP_734701.2	XP_028530873.1	XP_028860017.1
5	5	0.466	XP_012336116.1	XP_019915716.1	XP_734870.2	XP_028526763.1	XP_028862463.1
5	5	0.816	XP_012335522.1	XP_019912820.1	XP_734629.2	XP_028525966.1	XP_028859494.1
5	5	0.778	XP_012334673.1	XP_019917899.1	XP_734621.1	XP_028529771.1	XP_028864567.1
5	5	0.865	XP_012337144.1	XP_019914439.1	XP_734598.2	XP_028527012.1	XP_028861139.1
5	5	0.423	XP_012336077.1	XP_019913005.1	XP_734529.2	XP_028527186.1	XP_028859616.1
5	5	0.675	XP_012336754.1	XP_019912997.1	XP_734526.2	XP_028528728.1	XP_028863573.1
5	5	0.929	XP_012337110.1	XP_019917092.1	XP_734492.2	XP_028528017.1	XP_028862844.1
5	5	0.908	XP_012334344.1	XP_019913063.1	XP_734471.2	XP_028528669.1	XP_028863631.1
5	5	0.524	XP_012334038.1	XP_019912579.1	XP_734450.2	XP_028530818.1	XP_028859960.1
5	5	0.547	XP_012335516.1	XP_019912843.1	XP_735017.2	XP_028527274.1	XP_028859500.1
5	5	0.553	XP_012335317.1	XP_019915999.1	XP_735094.2	XP_028526635.1	XP_028862585.1
5	5	0.871	XP_012333580.1	XP_019917326.1	XP_735085.2	XP_028528527.1	XP_028863769.1
5	5	0.901	XP_012334177.1	XP_019912614.1	XP_735062.2	XP_028526093.1	XP_028860230.1
5	5	0.899	XP_012333618.1	XP_019917125.1	XP_735059.2	XP_028528490.1	XP_028863806.1
5	5	0.52	XP_012337518.1	XP_019913402.1	XP_735057.2	XP_028526039.1	XP_028860508.1
5	5	0.48	XP_012335388.1	XP_019917724.1	XP_735056.2	XP_028526414.1	XP_028864524.1
5	5	0.627	XP_012333133.1	XP_019914760.1	XP_735033.2	XP_028529175.1	XP_028861734.1
5	5	0.9	XP_012334877.1	XP_019917377.1	XP_735021.2	XP_028528376.1	XP_028863921.1
5	5	0.84	XP_012336070.1	XP_019913158.1	XP_734441.2	XP_028527195.1	XP_028859608.1
5	5	0.835	XP_012337084.1	XP_019916495.1	XP_735014.2	XP_028527876.1	XP_028862990.1
5	5	0.9	XP_012336157.1	XP_019917644.1	XP_734971.2	XP_028530531.1	XP_028864404.1
5	5	0.87	XP_012336028.1	XP_019917841.1	XP_734959.2	XP_028529828.1	XP_028864623.1
5	5	0.884	XP_012333312.1	XP_019916750.1	XP_734953.2	XP_028530270.1	XP_028864149.1
5	5	0.85	XP_012338054.1	XP_019915238.1	XP_734950.2	XP_028525872.1	XP_028861940.1
5	5	0.292	XP_012333685.1	XP_019914577.1	XP_734947.2	XP_028528176.1	XP_028861266.1
5	5	0.771	XP_012336476.1	XP_019916606.1	XP_734919.2	XP_028527530.1	XP_028863329.1
5	5	0.592	XP_012334182.1	XP_019912719.1	XP_734874.2	XP_028526088.1	XP_028860235.1
5	5	0.851	XP_012336281.1	XP_019914633.1	XP_734008.2	XP_028527057.1	XP_028861184.1
5	5	0.702	XP_012334460.1	XP_019915694.1	XP_734176.2	XP_028526445.1	XP_028862769.1
5	5	0.793	XP_012336207.1	XP_019917769.1	XP_734169.2	XP_028530579.1	XP_028864452.1
5	5	0.473	XP_012335377.1	XP_019917477.1	XP_734152.2	XP_028526402.1	XP_028864512.1
5	5	0.872	XP_012335203.1	XP_019916443.1	XP_734113.2	XP_028530366.1	XP_028864243.1
5	5	0.803	XP_012333598.1	XP_019917431.1	XP_734085.2	XP_028528510.1	XP_028863786.1
5	5	0.864	XP_012334987.1	XP_019916456.1	XP_734080.2	XP_028527631.1	XP_028863230.1
5	5	0.695	XP_012334810.1	XP_019913927.1	XP_734060.2	XP_028529482.1	XP_028860717.1
5	5	0.89	XP_012336324.1	XP_019914679.1	XP_734031.2	XP_028527099.1	XP_028861226.1
5	5	0.828	XP_012336338.1	XP_019912942.1	XP_734025.2	XP_028530998.1	XP_028859448.1
5	5	0.577	XP_012336780.1	XP_019913060.1	XP_734181.2	XP_028528703.1	XP_028863598.1
5	5	0.877	XP_012333944.1	XP_019914204.1	XP_733991.2	XP_028529427.1	XP_028860663.1
5	5	0.623	XP_012337242.1	XP_019917345.1	XP_733969.2	XP_028528598.1	XP_028863700.1
5	5	0.855	XP_012337253.1	XP_019917307.1	XP_733962.2	XP_028528586.1	XP_028863712.1
5	5	0.867	XP_012337386.1	XP_019914629.1	XP_733957.2	XP_028526993.1	XP_028861119.1
5	5	0.859	XP_012335057.1	XP_019912983.1	XP_733952.2	XP_028530912.1	XP_028859364.1
5	5	0.851	XP_012333252.1	XP_019917072.1	XP_733946.2	XP_028530334.1	XP_028864211.1
5	5	0.85	XP_012338121.1	XP_019912454.1	XP_733902.2	XP_028525904.1	XP_028860085.1
5	5	0.641	XP_012333562.1	XP_019917231.1	XP_733870.2	XP_028528547.1	XP_028863749.1
5	5	0.865	XP_012334199.1	XP_019912747.1	XP_734284.2	XP_028526071.1	XP_028860252.1
5	5	0.469	XP_012334032.1	XP_019912496.1	XP_734426.2	XP_028530812.1	XP_028859954.1
5	5	0.796	XP_012336549.1	XP_019914708.1	XP_734399.2	XP_028528927.1	XP_028861489.1
5	5	0.821	XP_012334061.1	XP_019912533.1	XP_734393.2	XP_028530842.1	XP_028859984.1
5	5	0.841	XP_012334287.1	XP_019913625.1	XP_734361.2	XP_028525974.1	XP_028860461.1
5	5	0.709	XP_012338113.1	XP_019912450.1	XP_734349.2	XP_028525913.1	XP_028860076.1
5	5	0.887	XP_012335653.1	XP_019916685.1	XP_734339.2	XP_028527415.1	XP_028863443.1
5	5	0.679	XP_012336726.1	XP_019913736.1	XP_734332.2	XP_028530133.1	XP_028862202.1
5	5	0.854	XP_012337070.1	XP_019916076.1	XP_734308.2	XP_028527861.1	XP_028863005.1
5	5	0.711	XP_012337279.1	XP_019915171.1	XP_016655339.1	XP_028529009.1	XP_028861573.1
4	4	0.933	XP_012335027.1	XP_019912846.1	XP_734273.2	XP_028530941.1	*
5	5	0.62	XP_012336127.1	XP_019915585.1	XP_734248.2	XP_028526775.1	XP_028862452.1
5	5	0.823	XP_012336148.1	XP_019917688.1	XP_734246.2	XP_028530522.1	XP_028864395.1
5	5	0.746	XP_012333491.1	XP_019916693.1	XP_734242.2	XP_028527746.1	XP_028863116.1
5	5	0.577	XP_012333949.1	XP_019914208.1	XP_734231.2	XP_028529422.1	XP_028860658.1
5	5	0.579	XP_012335051.1	XP_019912931.1	XP_734201.2	XP_028530918.1	XP_028859370.1
5	5	0.373	XP_012333203.1	XP_019914757.1	XP_734200.2	XP_028529246.1	XP_028861803.1
5	5	0.394	XP_012333475.1	XP_019916246.1	XP_734194.2	XP_028527762.1	XP_028863101.1
5	5	0.572	XP_012333318.1	XP_019916098.1	XP_016654830.1	XP_028530266.1	XP_028864145.1
5	5	0.867	XP_012333300.1	XP_019916813.1	XP_016654840.1	XP_028530282.1	XP_028864161.1
5	5	0.83	XP_012333302.1	XP_019917074.1	XP_016654839.1	XP_028530280.1	XP_028864159.1
5	5	0.868	XP_012333303.1	XP_019916791.1	XP_016654838.1	XP_028530279.1	XP_028864158.1
5	5	0.893	XP_012333305.1	XP_019916581.1	XP_016654837.1	XP_028530277.1	XP_028864156.1
5	5	0.846	XP_012333308.1	XP_019916164.1	XP_016654836.1	XP_028530274.1	XP_028864153.1
5	5	0.678	XP_012333309.1	XP_019916515.1	XP_016654835.1	XP_028530273.1	XP_028864152.1
5	5	0.888	XP_012333311.1	XP_019916998.1	XP_016654834.1	XP_028530271.1	XP_028864150.1
5	5	0.8	XP_012333313.1	XP_019916640.1	XP_016654833.1	XP_028530269.1	XP_028864148.1
5	5	0.858	XP_012333314.1	XP_019916375.1	XP_016654832.1	XP_028530268.1	XP_028864147.1
5	5	0.865	XP_012333295.1	XP_019916484.1	XP_016654841.1	XP_028530287.1	XP_028864166.1
5	5	0.902	XP_012333319.1	XP_019916385.1	XP_016654829.1	XP_028530265.1	XP_028864144.1
5	5	0.918	XP_012333321.1	XP_019916794.1	XP_016654828.1	XP_028530263.1	XP_028864142.1
5	5	0.881	XP_012333322.1	XP_019916706.1	XP_016654827.1	XP_028530262.1	XP_028864141.1
5	5	0.792	XP_012333323.1	XP_019916416.1	XP_016654826.1	XP_028530261.1	XP_028864140.1
5	5	0.859	XP_012333325.1	XP_019916655.1	XP_016654825.1	XP_028530259.1	XP_028864138.1
5	5	0.844	XP_012333329.1	XP_019916646.1	XP_016654824.1	XP_028530255.1	XP_028864134.1
5	5	0.86	XP_012333333.1	XP_019916785.1	XP_016654823.1	XP_028530252.1	XP_028864132.1
5	5	0.871	XP_012333334.1	XP_019916758.1	XP_016654822.1	XP_028530251.1	XP_028864131.1
5	5	0.297	XP_012333264.1	XP_019917079.1	XP_016654851.1	XP_028530322.1	XP_028864199.1
5	5	0.899	XP_012333250.1	XP_019916487.1	XP_016654860.1	XP_028530336.1	XP_028864213.1
5	5	0.877	XP_012333251.1	XP_019916790.1	XP_016654859.1	XP_028530335.1	XP_028864212.1
5	5	0.85	XP_012333253.1	XP_019916080.1	XP_016654858.1	XP_028530333.1	XP_028864210.1
5	5	0.834	XP_012333256.1	XP_019916955.1	XP_016654857.1	XP_028530330.1	XP_028864207.1
5	5	0.669	XP_012333257.1	XP_019916669.1	XP_016654856.1	XP_028530329.1	XP_028864206.1
5	5	0.927	XP_012333258.1	XP_019916374.1	XP_016654855.1	XP_028530328.1	XP_028864205.1
5	5	0.785	XP_012333259.1	XP_019916203.1	XP_016654854.1	XP_028530327.1	XP_028864204.1
5	5	0.86	XP_012333262.1	XP_019916492.1	XP_016654853.1	XP_028530324.1	XP_028864201.1
5	5	0.725	XP_012333263.1	XP_019916328.1	XP_016654852.1	XP_028530323.1	XP_028864200.1
5	5	0.872	XP_012333342.1	XP_019916818.1	XP_016654821.1	XP_028530243.1	XP_028864123.1
5	5	0.384	XP_012333267.1	XP_019916615.1	XP_016654849.1	XP_028530319.1	XP_028864196.1
5	5	0.884	XP_012333271.1	XP_019916984.1	XP_016654848.1	XP_028530312.1	XP_028864190.1
5	5	0.814	XP_012333279.1	XP_019917052.1	XP_016654847.1	XP_028530304.1	XP_028864182.1
5	5	0.832	XP_012333280.1	XP_019916119.1	XP_016654846.1	XP_028530303.1	XP_028864181.1
5	5	0.707	XP_012333282.1	XP_019916828.1	XP_016654845.1	XP_028530301.1	XP_028864179.1
5	5	0.934	XP_012333285.1	XP_019916380.1	XP_016654844.1	XP_028530298.1	XP_028864176.1
5	5	0.847	XP_012333287.1	XP_019916972.1	XP_016654843.1	XP_028530296.1	XP_028864174.1
5	5	0.688	XP_012333294.1	XP_019916754.1	XP_016654842.1	XP_028530288.1	XP_028864167.1
5	5	0.826	XP_012337121.1	XP_019916766.1	XP_016654755.1	XP_028528007.1	XP_028862854.1
5	5	0.701	XP_012337978.1	XP_019916748.1	XP_016654768.1	XP_028528041.1	XP_028862821.1
5	5	0.789	XP_012337979.1	XP_019917040.1	XP_016654767.1	XP_028528040.1	XP_028862822.1
5	5	0.741	XP_012337984.1	XP_019916291.1	XP_016654766.1	XP_028528036.1	XP_028862826.1
5	5	0.564	XP_012337985.1	XP_019917042.1	XP_016654765.1	XP_028528035.1	XP_028862827.1
5	5	0.88	XP_012337102.1	XP_019916732.1	XP_016654763.1	XP_028528027.1	XP_028862835.1
5	5	0.791	XP_012337107.1	XP_019916217.1	XP_016654760.1	XP_028528020.1	XP_028862841.1
5	5	0.853	XP_012337108.1	XP_019916506.1	XP_016654759.1	XP_028528019.1	XP_028862842.1
5	5	0.611	XP_012337109.1	XP_019916809.1	XP_016654758.1	XP_028528018.1	XP_028862843.1
5	5	0.911	XP_012337120.1	XP_019916812.1	XP_016654756.1	XP_028528008.1	XP_028862853.1
5	5	0.842	XP_012337975.1	XP_019917019.1	XP_016654769.1	XP_028528043.1	XP_028862819.1
5	5	0.799	XP_012337122.1	XP_019916468.1	XP_016654754.1	XP_028528006.1	XP_028862855.1
5	5	0.876	XP_012337123.1	XP_019917056.1	XP_016654753.1	XP_028528005.1	XP_028862856.1
5	5	0.698	XP_012337124.1	XP_019916765.1	XP_016654752.1	XP_028528004.1	XP_028862857.1
5	5	0.722	XP_012337127.1	XP_019917091.1	XP_016654751.1	XP_028528002.1	XP_028862859.1
5	5	0.9	XP_012337129.1	XP_019916890.1	XP_016654750.1	XP_028528000.1	XP_028862861.1
5	5	0.794	XP_012337130.1	XP_019916430.1	XP_016654749.1	XP_028527999.1	XP_028862862.1
5	5	0.567	XP_012337131.1	XP_019916210.1	XP_016654748.1	XP_028527998.1	XP_028862863.1
5	5	0.689	XP_012337132.1	XP_019916537.1	XP_016654747.1	XP_028527997.1	XP_028862864.1
5	5	0.856	XP_012333360.1	XP_019916095.1	XP_016654812.1	XP_028530225.1	XP_028864105.1
5	5	0.931	XP_012333343.1	XP_019917101.1	XP_016654820.1	XP_028530242.1	XP_028864122.1
5	5	0.772	XP_012333344.1	XP_019916349.1	XP_016654819.1	XP_028530241.1	XP_028864121.1
5	5	0.334	XP_012333348.1	XP_019916722.1	XP_016654818.1	XP_028530237.1	XP_028864117.1
5	5	0.852	XP_012333349.1	XP_019916840.1	XP_016654817.1	XP_028530236.1	XP_028864116.1
