# Species	Genes	Alg.-Conn.	GCF_000208865.1_ASM20886v2_protein.faa	GCF_001601855.1_ASM160185v1_protein.faa	GCF_002563875.1_Bbes1.0_protein.faa	GCF_900002375.2_GCA_900002375_protein.faa	GCF_900005765.1_PRELSG_protein.faa
5	5	0.615	XP_003881789.1	XP_019970742.1	XP_029216949.1	XP_034423091.1	XP_028533398.1
5	5	0.849	XP_003882092.1	XP_012761764.2	XP_029216848.1	XP_034423073.1	XP_028533415.1
5	5	0.709	XP_003882131.1	XP_012761757.1	XP_029216890.1	XP_034423066.1	XP_028533423.1
5	5	0.589	XP_003883257.1	XP_012761753.1	XP_029217157.1	XP_034423062.1	XP_028533427.1
5	5	0.673	XP_003882691.1	XP_012765647.1	XP_029221733.1	XP_034423393.1	XP_028534320.1
5	5	0.789	XP_003885924.1	XP_012761747.1	XP_029222318.1	XP_034423056.1	XP_028533433.1
5	5	0.778	XP_003880063.1	XP_012761746.1	XP_029217836.1	XP_034423055.1	XP_028533434.1
5	5	0.916	XP_003882465.1	XP_012761744.1	XP_029218625.1	XP_034423053.1	XP_028533436.1
5	5	0.798	XP_003885941.1	XP_012761741.1	XP_029222300.1	XP_034423050.1	XP_028533439.1
5	5	0.895	XP_003885217.1	XP_012761739.2	XP_029218234.1	XP_034423048.1	XP_028533441.1
5	5	0.877	XP_003882888.1	XP_012761736.1	XP_029217324.1	XP_034423045.1	XP_028533444.1
5	5	0.517	XP_003885532.1	XP_012761731.2	XP_029217583.1	XP_034423041.1	XP_028533449.1
5	5	0.68	XP_003879798.1	XP_012761730.2	XP_029215742.1	XP_034423040.1	XP_028533450.1
5	5	0.787	XP_003884366.1	XP_012761722.2	XP_029219283.1	XP_034423033.1	XP_028533458.1
5	5	0.91	XP_003884785.1	XP_012761719.1	XP_029221086.1	XP_034423030.1	XP_028533461.1
5	5	0.797	XP_003880184.1	XP_012761716.1	XP_029219420.1	XP_034423028.1	XP_028533464.1
5	5	0.718	XP_003886044.1	XP_012761713.2	XP_029222166.1	XP_034423025.1	XP_028533467.1
4	4	0.654	XP_003882965.1	*	XP_029221961.1	XP_034423020.1	XP_028533472.1
5	5	0.799	XP_003884840.1	XP_012761707.1	XP_029221003.1	XP_034423019.1	XP_028533473.1
5	5	0.825	XP_003880407.1	XP_012764795.1	XP_029216678.1	XP_034423715.1	XP_028534664.1
5	5	0.863	XP_003881709.1	XP_012764865.1	XP_029218853.1	XP_034423781.1	XP_028534594.1
5	5	0.898	XP_003882653.1	XP_012764860.2	XP_029221696.1	XP_034423776.1	XP_028534599.1
5	5	0.885	XP_003881703.1	XP_012764853.1	XP_029218860.1	XP_034423769.1	XP_028534606.1
5	5	0.511	XP_003882706.1	XP_019970129.1	XP_029221748.1	XP_034423766.1	XP_028534609.1
5	5	0.548	XP_003886417.1	XP_012764849.1	XP_029215392.1	XP_034423765.1	XP_028534610.1
5	5	0.814	XP_003884247.1	XP_012764839.2	XP_029219134.1	XP_034423756.1	XP_028534620.1
5	5	0.51	XP_003880358.1	XP_012764838.2	XP_029216728.1	XP_034423755.1	XP_028534621.1
5	5	0.848	XP_003881455.1	XP_012764834.1	XP_029216557.1	XP_034423751.1	XP_028534625.1
5	5	0.604	XP_003880103.1	XP_012764830.1	XP_029217792.1	XP_034423747.1	XP_028534629.1
5	5	0.72	XP_003883911.1	XP_012764829.2	XP_029219674.1	XP_034423746.1	XP_028534630.1
5	5	0.741	XP_003885252.1	XP_012764825.2	XP_029218271.1	XP_034423742.1	XP_028534634.1
5	5	0.615	XP_003881279.1	XP_012764816.2	XP_029215990.1	XP_034423733.1	XP_028534643.1
5	5	0.77	XP_003884255.1	XP_012764814.1	XP_029219142.1	XP_034423731.1	XP_028534645.1
5	5	0.535	XP_003884216.1	XP_012764810.2	XP_029219098.1	XP_034423728.1	XP_028534649.1
5	5	0.798	XP_003881148.1	XP_012764796.1	XP_029216107.1	XP_034423716.1	XP_028534663.1
4	4	0.583	*	XP_012764866.2	XP_029218656.1	XP_034423782.1	XP_028534593.1
5	5	0.752	XP_003884591.1	XP_012764794.1	XP_029219767.1	XP_034423714.1	XP_028534665.1
5	5	0.812	XP_003884004.1	XP_012764792.2	XP_029219564.1	XP_034423712.1	XP_028534667.1
5	5	0.805	XP_003884224.1	XP_012764789.2	XP_029219106.1	XP_034423709.1	XP_028534670.1
5	5	0.782	XP_003880778.1	XP_012764788.2	XP_029216300.1	XP_034423708.1	XP_028534671.1
5	5	0.82	XP_003882605.1	XP_012764787.1	XP_029215257.1	XP_034423707.1	XP_028534672.1
5	5	0.839	XP_003881475.1	XP_012764786.2	XP_029220596.1	XP_034423706.1	XP_028534673.1
5	5	0.746	XP_003886070.1	XP_012764782.1	XP_029221629.1	XP_034423702.1	XP_028534677.1
5	5	0.859	XP_003882763.1	XP_012764781.1	XP_029221825.1	XP_034423701.1	XP_028534678.1
5	5	0.879	XP_003881889.1	XP_012764780.2	XP_029216383.1	XP_034423700.1	XP_028534679.1
5	5	0.786	XP_003884618.1	XP_019970121.1	XP_029221262.1	XP_034423699.1	XP_028534680.1
5	5	0.597	XP_003882459.1	XP_012764772.1	XP_029218619.1	XP_034423692.1	XP_028534687.1
5	5	0.746	XP_003884495.1	XP_012764769.1	XP_029219899.1	XP_034423689.1	XP_028534690.1
5	5	0.827	XP_003886058.1	XP_012764756.2	XP_029221641.1	XP_034423677.1	XP_028534703.1
5	5	0.636	XP_003885272.1	XP_012764755.1	XP_029218295.1	XP_034423676.1	XP_028534704.1
5	5	0.913	XP_003881305.1	XP_012764754.2	XP_029215533.1	XP_034423675.1	XP_028534705.1
5	5	0.789	XP_003879871.1	XP_012764446.1	XP_029215818.1	XP_034423873.1	XP_028534835.1
5	5	0.797	XP_003883279.1	XP_012764497.1	XP_029217135.1	XP_034423924.1	XP_028534887.1
5	5	0.747	XP_003886439.1	XP_012764495.1	XP_029215413.1	XP_034423922.1	XP_028534885.1
5	5	0.779	XP_003881160.1	XP_012764494.1	XP_029216097.1	XP_034423921.1	XP_028534884.1
5	5	0.911	XP_003883437.1	XP_012764493.1	XP_029222631.1	XP_034423920.1	XP_028534883.1
5	5	0.677	XP_003881238.1	XP_012764492.1	XP_029216034.1	XP_034423919.1	XP_028534882.1
5	5	0.827	XP_003885613.1	XP_012764489.2	XP_029218927.1	XP_034423916.1	XP_028534879.1
5	5	0.861	XP_003879801.1	XP_012764486.2	XP_029215745.1	XP_034423913.1	XP_028534876.1
5	5	0.729	XP_003881757.1	XP_012764480.2	XP_029218801.1	XP_034423907.1	XP_028534869.1
5	5	0.759	XP_003881095.1	XP_012764478.2	XP_029216165.1	XP_034423905.1	XP_028534867.1
5	5	0.845	XP_003882132.1	XP_019970063.1	XP_029216891.1	XP_034423898.1	XP_028534860.1
5	5	0.695	XP_003885835.1	XP_012764463.1	XP_029221429.1	XP_034423890.1	XP_028534852.1
5	5	0.861	XP_003884824.1	XP_012764462.2	XP_029221024.1	XP_034423889.1	XP_028534851.1
5	5	0.926	XP_003884040.1	XP_012764453.2	XP_029218461.1	XP_034423880.1	XP_028534842.1
5	5	0.559	XP_003885199.1	XP_012764450.2	XP_029218218.1	XP_034423877.1	XP_028534839.1
5	5	0.74	XP_003884994.1	XP_012764449.1	XP_029217979.1	XP_034423876.1	XP_028534838.1
5	5	0.816	XP_003884375.1	XP_012764751.1	XP_029219294.1	XP_034423672.1	XP_028534708.1
5	5	0.745	XP_003884120.1	XP_012764444.1	XP_029218994.1	XP_034423871.1	XP_028534833.1
5	5	0.337	XP_003884409.1	XP_012764436.1	XP_029220727.1	XP_034423863.1	XP_028534825.1
5	5	0.532	XP_003885459.1	XP_012764429.1	XP_029217665.1	XP_034423856.1	XP_028534818.1
5	5	0.866	XP_003879870.1	XP_012764422.2	XP_029215817.1	XP_034423848.1	XP_028534810.1
5	5	0.807	XP_003883340.1	XP_012764413.2	XP_029222740.1	XP_034423839.1	XP_028534801.1
5	5	0.806	XP_003884307.1	XP_012764411.1	XP_029219205.1	XP_034423837.1	XP_028534799.1
5	5	0.826	XP_003881829.1	XP_012764409.1	XP_029217016.1	XP_034423835.1	XP_028534797.1
4	4	0.558	*	XP_019970056.1	XP_029221964.1	XP_034423831.1	XP_028534793.1
5	5	0.864	XP_003885986.1	XP_012764892.1	XP_029222250.1	XP_034423808.1	XP_028534566.1
5	5	0.697	XP_003883985.1	XP_012764888.2	XP_029219583.1	XP_034423804.1	XP_028534570.1
5	5	0.796	XP_003880508.1	XP_012764882.1	XP_029216572.1	XP_034423798.1	XP_028534576.1
4	4	0.786	*	XP_012764879.1	XP_029216173.1	XP_034423795.1	XP_028534579.1
5	5	0.739	XP_003880279.1	XP_012764870.1	XP_029215144.1	XP_034423786.1	XP_028534589.1
5	5	0.766	XP_003882239.1	XP_012764869.1	XP_029219984.1	XP_034423785.1	XP_028534590.1
5	5	0.736	XP_003884792.1	XP_012765715.2	XP_029221079.1	XP_034423462.1	XP_028534252.1
5	5	0.805	XP_003881782.1	XP_012764614.1	XP_029216940.1	XP_034423542.1	XP_028534166.1
4	4	0.924	XP_003885935.1	*	XP_029222307.1	XP_034423540.1	XP_028534168.1
5	5	0.536	XP_003881755.1	XP_019969740.1	XP_029218804.1	XP_034423539.1	XP_028534169.1
4	4	0.775	*	XP_019970081.1	XP_029215946.1	XP_034423537.1	XP_028534171.1
4	4	0.619	*	XP_019969742.1	XP_029215187.1	XP_034423536.1	XP_028534172.1
5	5	0.762	XP_003879592.1	XP_012765771.2	XP_029217086.1	XP_034423517.1	XP_028534195.1
5	5	0.837	XP_003882490.1	XP_012765756.1	XP_029218646.1	XP_034423502.1	XP_028534210.1
4	4	0.436	*	XP_019970032.1	XP_029220063.1	XP_034423500.1	XP_028534212.1
5	5	0.916	XP_003880481.1	XP_012765751.1	XP_029216599.1	XP_034423497.1	XP_028534215.1
5	5	0.74	XP_003882333.1	XP_019970029.1	XP_029219544.1	XP_034423492.1	XP_028534220.1
5	5	0.587	XP_003880045.1	XP_019970026.1	XP_029217858.1	XP_034423484.1	XP_028534229.1
5	5	0.854	XP_003881494.1	XP_012765735.1	XP_029220575.1	XP_034423481.1	XP_028534232.1
5	5	0.678	XP_003880467.1	XP_012765734.2	XP_029216613.1	XP_034423480.1	XP_028534233.1
5	5	0.739	XP_003886231.1	XP_019970023.1	XP_029215505.1	XP_034423475.1	XP_028534238.1
5	5	0.86	XP_003885528.1	XP_012765727.1	XP_029217588.1	XP_034423474.1	XP_028534240.1
5	5	0.525	XP_003882013.1	XP_012764615.2	XP_029220442.1	XP_034423543.1	XP_028534165.1
5	5	0.909	XP_003883809.1	XP_012765709.1	XP_029221299.1	XP_034423457.1	XP_028534258.1
5	5	0.728	XP_003882729.1	XP_012765705.2	XP_029221787.1	XP_034423453.1	XP_028534262.1
5	5	0.861	XP_003881208.1	XP_012765703.1	XP_029216071.1	XP_034423451.1	XP_028534264.1
5	5	0.744	XP_003883474.1	XP_012765701.2	XP_029222589.1	XP_034423449.1	XP_028534266.1
5	5	0.932	XP_003882646.1	XP_012765692.2	XP_029221689.1	XP_034423440.1	XP_028534275.1
5	5	0.838	XP_003882991.1	XP_012765689.1	XP_029221931.1	XP_034423437.1	XP_028534278.1
5	5	0.749	XP_003881746.1	XP_012765680.1	XP_029218813.1	XP_034423427.1	XP_028534287.1
5	5	0.904	XP_003883335.1	XP_012765681.2	XP_029222746.1	XP_034423426.1	XP_028534286.1
5	5	0.696	XP_003881152.1	XP_019970015.1	XP_029216104.1	XP_034423416.1	XP_028534296.1
5	5	0.7	XP_003885933.1	XP_019970013.1	XP_029222309.1	XP_034423415.1	XP_028534297.1
5	5	0.883	XP_003880333.1	XP_012765662.2	XP_029215211.1	XP_034423408.1	XP_028534305.1
5	5	0.714	XP_003879918.1	XP_012765656.1	XP_029215871.1	XP_034423402.1	XP_028534311.1
5	5	0.795	XP_003879921.1	XP_012765655.1	XP_029215874.1	XP_034423401.1	XP_028534312.1
5	5	0.834	XP_003882759.1	XP_012765650.1	XP_029221823.1	XP_034423396.1	XP_028534317.1
5	5	0.7	XP_003885504.1	XP_012765649.1	XP_029217615.1	XP_034423395.1	XP_028534318.1
5	5	0.714	XP_003880946.1	XP_012764684.2	XP_029220684.1	XP_034423612.1	XP_028534767.1
5	5	0.62	XP_003879883.1	XP_012764746.2	XP_029215830.1	XP_034423667.1	XP_028534714.1
5	5	0.913	XP_003881044.1	XP_012764743.2	XP_029216218.1	XP_034423664.1	XP_028534717.1
5	5	0.517	XP_003885333.1	XP_012764719.1	XP_029218361.1	XP_034423646.1	XP_028534732.1
5	5	0.785	XP_003881973.1	XP_012764711.2	XP_029220405.1	XP_034423638.1	XP_028534740.1
5	5	0.63	XP_003881163.1	XP_012764710.1	XP_029216094.1	XP_034423637.1	XP_028534741.1
5	5	0.655	XP_003883623.1	XP_012764707.1	XP_029222437.1	XP_034423635.1	XP_028534744.1
5	5	0.858	XP_003879808.1	XP_012764706.2	XP_029215753.1	XP_034423634.1	XP_028534745.1
5	5	0.744	XP_003880651.1	XP_012764705.1	XP_029220278.1	XP_034423633.1	XP_028534746.1
5	5	0.761	XP_003879732.1	XP_012764704.2	XP_029215670.1	XP_034423632.1	XP_028534747.1
4	4	0.851	XP_003880154.1	*	XP_029219388.1	XP_034423628.1	XP_028534751.1
4	4	0.873	XP_003884236.1	*	XP_029219122.1	XP_034423625.1	XP_028534754.1
4	4	0.743	XP_003885174.1	*	XP_029218181.1	XP_034423624.1	XP_028534755.1
5	5	0.511	XP_003885124.1	XP_012764694.2	XP_029218135.1	XP_034423622.1	XP_028534757.1
4	4	0.892	XP_003882188.1	*	XP_029220117.1	XP_034423619.1	XP_028534760.1
5	5	0.769	XP_003882789.1	XP_012764685.2	XP_029221853.1	XP_034423613.1	XP_028534766.1
5	5	0.716	XP_003881495.1	XP_012762474.2	XP_029220574.1	XP_034422902.1	XP_028531457.1
5	5	0.768	XP_003884436.1	XP_012764683.1	XP_029219365.1	XP_034423611.1	XP_028534768.1
5	5	0.816	XP_003881214.1	XP_012764679.1	XP_029216062.1	XP_034423607.1	XP_028534772.1
5	5	0.842	XP_003886314.1	XP_019970100.1	XP_029215315.1	XP_034423598.1	XP_028534781.1
5	5	0.899	XP_003881423.1	XP_019970099.1	XP_029216516.1	XP_034423597.1	XP_028534782.1
5	5	0.853	XP_003884198.1	XP_012764667.2	XP_029219078.1	XP_034423595.1	XP_028534784.1
5	5	0.826	XP_003884924.1	XP_012764661.1	XP_029217965.1	XP_034423590.1	XP_028534790.1
5	5	0.878	XP_003881753.1	XP_012764658.1	XP_029218806.1	XP_034423587.1	XP_028534119.1
5	5	0.609	XP_003882403.1	XP_012764647.2	XP_029218562.1	XP_034423575.1	XP_028534130.1
5	5	0.768	XP_003880603.1	XP_012764643.2	XP_029220225.1	XP_034423571.1	XP_028534134.1
5	5	0.709	XP_003882704.1	XP_012764636.1	XP_029221746.1	XP_034423563.1	XP_028534144.1
5	5	0.75	XP_003881458.1	XP_012764631.1	XP_029216259.1	XP_034423559.1	XP_028534149.1
5	5	0.794	XP_003882846.1	XP_012764630.1	XP_029217279.1	XP_034423558.1	XP_028534150.1
5	5	0.78	XP_003883805.1	XP_012764628.1	XP_029221305.1	XP_034423556.1	XP_028534152.1
5	5	0.734	XP_003884836.1	XP_012764627.1	XP_029221007.1	XP_034423555.1	XP_028534153.1
5	5	0.728	XP_003885889.1	XP_012765089.1	XP_029222353.1	XP_034422193.1	XP_028536116.1
5	5	0.782	XP_003881771.1	XP_019970723.1	XP_029217400.1	XP_034422287.1	XP_028533590.1
5	5	0.892	XP_003883798.1	XP_012761594.2	XP_029221315.1	XP_034422282.1	XP_028533595.1
5	5	0.85	XP_003884959.1	XP_012761588.1	XP_029217922.1	XP_034422276.1	XP_028533601.1
5	5	0.82	XP_003884026.1	XP_012761586.2	XP_029218478.1	XP_034422274.1	XP_028533603.1
5	5	0.816	XP_003882011.1	XP_019970719.1	XP_029220440.1	XP_034422266.1	XP_028533611.1
5	5	0.75	XP_003880906.1	XP_012761576.1	XP_029220763.1	XP_034422263.1	XP_028533614.1
5	5	0.827	XP_003881229.1	XP_012761573.2	XP_029216046.1	XP_034422260.1	XP_028533617.1
4	4	0.794	*	XP_019970714.1	XP_029222723.1	XP_034422254.1	XP_028533623.1
5	5	0.767	XP_003885351.1	XP_012761564.1	XP_029218378.1	XP_034422251.1	XP_028533626.1
5	5	0.69	XP_003880113.1	XP_012761562.2	XP_029217783.1	XP_034422249.1	XP_028533628.1
5	5	0.812	XP_003884403.1	XP_012761556.1	XP_029220717.1	XP_034422243.1	XP_028533634.1
5	5	0.784	XP_003881486.1	XP_012761553.1	XP_029220583.1	XP_034422240.1	XP_028533637.1
5	5	0.744	XP_003879949.1	XP_012761549.2	XP_029215900.1	XP_034422236.1	XP_028533642.1
5	5	0.937	XP_003884151.1	XP_012761548.1	XP_029219030.1	XP_034422235.1	XP_028533643.1
5	5	0.884	XP_003885998.1	XP_012765086.1	XP_029222210.1	XP_034422196.1	XP_028536119.1
5	5	0.845	XP_003882864.1	XP_012761600.1	XP_029217300.1	XP_034422288.1	XP_028533589.1
5	5	0.724	XP_003885497.1	XP_012765100.2	XP_029217624.1	XP_034422182.1	XP_028536105.1
5	5	0.708	XP_003885688.1	XP_012765104.1	XP_029221581.1	XP_034422179.1	XP_028536101.1
5	5	0.919	XP_003881463.1	XP_012765107.1	XP_029216254.1	XP_034422176.1	XP_028536098.1
4	4	0.434	*	XP_012765116.1	XP_029222223.1	XP_034422169.1	XP_028536089.1
5	5	0.795	XP_003884901.1	XP_012765120.1	XP_029220900.1	XP_034422165.1	XP_028536085.1
5	5	0.833	XP_003883548.1	XP_012765124.1	XP_029222516.1	XP_034422161.1	XP_028536080.1
5	5	0.766	XP_003882471.1	XP_012765131.1	XP_029215183.1	XP_034422154.1	XP_028536073.1
5	5	0.572	XP_003883769.1	XP_019969912.1	XP_029221345.1	XP_034422153.1	XP_028536072.1
5	5	0.82	XP_003882696.1	XP_012765134.2	XP_029221738.1	XP_034422151.1	XP_028536070.1
5	5	0.545	XP_003885136.1	XP_019969704.1	XP_029218146.1	XP_034422150.1	XP_028536069.1
5	5	0.464	XP_003881734.1	XP_019969914.1	XP_029218827.1	XP_034422148.1	XP_028536067.1
5	5	0.854	XP_003883873.1	XP_012765139.1	XP_029219715.1	XP_034422146.1	XP_028536065.1
5	5	0.875	XP_003882497.1	XP_012765141.2	XP_029218653.1	XP_034422144.1	XP_028536063.1
4	4	0.864	XP_003885872.1	*	XP_029222369.1	XP_034422138.1	XP_028536058.1
5	5	0.727	XP_003882455.1	XP_012765153.1	XP_029218615.1	XP_034422135.1	XP_028536054.1
5	5	0.848	XP_003884915.1	XP_012761648.1	XP_029217974.1	XP_034422337.1	XP_028533536.1
5	5	0.888	XP_003885871.1	XP_012762014.1	XP_029222370.1	XP_034422400.1	XP_028533936.1
5	5	0.897	XP_003884138.1	XP_012762012.1	XP_029219016.1	XP_034422398.1	XP_028533938.1
5	5	0.667	XP_003883696.1	XP_012762007.1	XP_029221380.1	XP_034422393.1	XP_028533943.1
5	5	0.829	XP_003880677.1	XP_012761998.1	XP_029220305.1	XP_034422383.1	XP_028533952.1
5	5	0.762	XP_003885060.1	XP_012761996.1	XP_029218056.1	XP_034422381.1	XP_028533954.1
5	5	0.789	XP_003882237.1	XP_012761990.1	XP_029219986.1	XP_034422375.1	XP_028533960.1
5	5	0.421	XP_003883488.1	XP_019970684.1	XP_029222578.1	XP_034422374.1	XP_028533961.1
5	5	0.804	XP_003885795.1	XP_012761987.2	XP_029221470.1	XP_034422372.1	XP_028533963.1
5	5	0.822	XP_003881055.1	XP_012761985.1	XP_029216208.1	XP_034422370.1	XP_028533965.1
5	5	0.792	XP_003883319.1	XP_012761671.1	XP_029217096.1	XP_034422361.1	XP_028533510.1
5	5	0.852	XP_003886197.1	XP_012761670.1	XP_029222046.1	XP_034422360.1	XP_028533511.1
5	5	0.886	XP_003881838.1	XP_019970728.1	XP_029217025.1	XP_034422349.1	XP_028533522.1
4	4	0.798	XP_003883067.1	*	XP_029217226.1	XP_034422342.1	XP_028533530.1
5	5	0.555	XP_003886203.1	XP_012761650.1	XP_029222040.1	XP_034422339.1	XP_028533534.1
5	5	0.891	XP_003885853.1	XP_019970727.1	XP_029222388.1	XP_034422338.1	XP_028533535.1
5	5	0.883	XP_003882897.1	XP_012765158.1	XP_029217334.1	XP_034422130.1	XP_028536049.1
5	5	0.787	XP_003883957.1	XP_019970726.1	XP_029219610.1	XP_034422335.1	XP_028533538.1
5	5	0.877	XP_003881922.1	XP_012761645.1	XP_029220352.1	XP_034422334.1	XP_028533539.1
5	5	0.435	XP_003882957.1	XP_012761642.2	XP_029221971.1	XP_034422331.1	XP_028533542.1
5	5	0.746	XP_003884784.1	XP_012761641.1	XP_029221087.1	XP_034422330.1	XP_028533543.1
5	5	0.537	XP_003880582.1	XP_012761638.1	XP_029220198.1	XP_034422326.1	XP_028533548.1
5	5	0.618	XP_003886034.1	XP_012761635.1	XP_029222176.1	XP_034422323.1	XP_028533551.1
5	5	0.827	XP_003886276.1	XP_012761625.1	XP_029215456.1	XP_034422313.1	XP_028533562.1
5	5	0.888	XP_003884551.1	XP_012761622.2	XP_029219831.1	XP_034422310.1	XP_028533565.1
5	5	0.83	XP_003880826.1	XP_012761620.1	XP_029220869.1	XP_034422308.1	XP_028533568.1
5	5	0.912	XP_003880527.1	XP_012761619.2	XP_029220139.1	XP_034422307.1	XP_028533569.1
5	5	0.798	XP_003879745.1	XP_012761615.2	XP_029215682.1	XP_034422303.1	XP_028533574.1
5	5	0.593	XP_003883399.1	XP_012761608.2	XP_029222676.1	XP_034422296.1	XP_028533581.1
4	4	0.813	XP_003885763.1	*	XP_029221503.1	XP_034422295.1	XP_028533582.1
5	5	0.689	XP_003880077.1	XP_012761604.2	XP_029217823.1	XP_034422292.1	XP_028533585.1
5	5	0.873	XP_003885934.1	XP_012765349.2	XP_029222308.1	XP_034421944.1	XP_028535857.1
5	5	0.815	XP_003882501.1	XP_012765279.2	XP_029216823.1	XP_034422012.1	XP_028535928.1
4	4	0.858	*	XP_012765288.2	XP_029216474.1	XP_034422003.1	XP_028535919.1
5	5	0.674	XP_003886290.1	XP_019969952.1	XP_029215443.1	XP_034422000.1	XP_028535916.1
5	5	0.896	XP_003884615.1	XP_019969954.1	XP_029221265.1	XP_034421997.1	XP_028535913.1
5	5	0.836	XP_003880584.1	XP_019969955.1	XP_029220200.1	XP_034421994.1	XP_028535910.1
5	5	0.834	XP_003882835.1	XP_012765298.1	XP_029221901.1	XP_034421993.1	XP_028535909.1
5	5	0.864	XP_003885895.1	XP_012765307.1	XP_029222347.1	XP_034421985.1	XP_028535900.1
5	5	0.68	XP_003883230.1	XP_012765308.1	XP_029217527.1	XP_034421984.1	XP_028535899.1
5	5	0.84	XP_003885709.1	XP_012765309.1	XP_029221561.1	XP_034421983.1	XP_028535898.1
5	5	0.664	XP_003880397.1	XP_012765310.2	XP_029216687.1	XP_034421982.1	XP_028535897.1
5	5	0.326	XP_003881129.1	XP_012765312.2	XP_029216125.1	XP_034421980.1	XP_028535895.1
5	5	0.783	XP_003880575.1	XP_012765316.1	XP_029220191.1	XP_034421976.1	XP_028535891.1
5	5	0.885	XP_003883781.1	XP_012765326.1	XP_029221330.1	XP_034421966.1	XP_028535880.1
5	5	0.885	XP_003880798.1	XP_012765330.1	XP_029217382.1	XP_034421962.1	XP_028535876.1
5	5	0.622	XP_003880866.1	XP_012765345.2	XP_029220801.1	XP_034421948.1	XP_028535861.1
5	5	0.899	XP_003886080.1	XP_012765278.1	XP_029222153.1	XP_034422013.1	XP_028535929.1
5	5	0.751	XP_003885058.1	XP_012765356.1	XP_029218054.1	XP_034421937.1	XP_028535850.1
5	5	0.881	XP_003880187.1	XP_012765357.1	XP_029219423.1	XP_034421936.1	XP_028535849.1
5	5	0.853	XP_003884989.1	XP_012765363.1	XP_029217892.1	XP_034421931.1	XP_028535843.1
5	5	0.896	XP_003880861.1	XP_012765364.1	XP_029220808.1	XP_034421930.1	XP_028535842.1
5	5	0.545	XP_003882707.1	XP_012765367.1	XP_029221749.1	XP_034421927.1	XP_028535838.1
5	5	0.607	XP_003882243.1	XP_012765375.1	XP_029219980.1	XP_034421919.1	XP_028535830.1
5	5	0.762	XP_003886375.1	XP_019969970.1	XP_029215357.1	XP_034421918.1	XP_028535829.1
5	5	0.787	XP_003885185.1	XP_019969973.1	XP_029218197.1	XP_034421913.1	XP_028535824.1
4	4	0.667	*	XP_012765386.2	XP_029216476.1	XP_034421908.1	XP_028535819.1
5	5	0.693	XP_003886144.1	XP_012765388.1	XP_029222107.1	XP_034421906.1	XP_028535817.1
5	5	0.852	XP_003880293.1	XP_012765389.1	XP_029215161.1	XP_034421905.1	XP_028535816.1
5	5	0.862	XP_003881363.1	XP_012765392.2	XP_029216456.1	XP_034421902.1	XP_028535813.1
5	5	0.848	XP_003885184.1	XP_012765393.1	XP_029218196.1	XP_034421901.1	XP_028535812.1
5	5	0.87	XP_003884786.1	XP_012765394.2	XP_029221085.1	XP_034421900.1	XP_028535811.1
5	5	0.806	XP_003884123.1	XP_012765396.1	XP_029218997.1	XP_034421898.1	XP_028535809.1
5	5	0.862	XP_003885643.1	XP_012765212.1	XP_029221654.1	XP_034422078.1	XP_028535995.1
5	5	0.469	XP_003880809.1	XP_012765164.2	XP_029217366.1	XP_034422124.1	XP_028536043.1
5	5	0.898	XP_003880494.1	XP_012765166.2	XP_029216586.1	XP_034422122.1	XP_028536041.1
5	5	0.726	XP_003884632.1	XP_012765170.1	XP_029221252.1	XP_034422118.1	XP_028536037.1
5	5	0.855	XP_003882821.1	XP_012765172.2	XP_029221888.1	XP_034422116.1	XP_028536035.1
5	5	0.531	XP_003882813.1	XP_012765178.2	XP_029221880.1	XP_034422110.1	XP_028536029.1
5	5	0.794	XP_003883558.1	XP_019969924.1	XP_029222505.1	XP_034422102.1	XP_028536020.1
5	5	0.817	XP_003884602.1	XP_012765190.2	XP_029221277.1	XP_034422099.1	XP_028536017.1
5	5	0.745	XP_003879907.1	XP_019969927.1	XP_029215856.1	XP_034422097.1	XP_028536015.1
5	5	0.826	XP_003884302.1	XP_012765199.2	XP_029219199.1	XP_034422091.1	XP_028536008.1
5	5	0.824	XP_003882865.1	XP_012765202.2	XP_029217301.1	XP_034422088.1	XP_028536005.1
4	4	0.63	*	XP_012765203.1	XP_029219168.1	XP_034422087.1	XP_028536004.1
5	5	0.555	XP_003884443.1	XP_012765204.1	XP_029217753.1	XP_034422086.1	XP_028536003.1
5	5	0.736	XP_003881076.1	XP_012765207.1	XP_029216188.1	XP_034422083.1	XP_028536000.1
5	5	0.694	XP_003885078.1	XP_012765208.1	XP_029218077.1	XP_034422082.1	XP_028535999.1
5	5	0.633	XP_003881359.1	XP_012765210.2	XP_029216451.1	XP_034422080.1	XP_028535997.1
5	5	0.399	XP_003882134.1	XP_012762020.1	XP_029216893.1	XP_034422406.1	XP_028533930.1
5	5	0.703	XP_003882837.1	XP_019969934.1	XP_029221903.1	XP_034422074.1	XP_028535991.1
5	5	0.819	XP_003885862.1	XP_012765217.2	XP_029222379.1	XP_034422073.1	XP_028535990.1
5	5	0.759	XP_003881251.1	XP_012765221.2	XP_029216022.1	XP_034422069.1	XP_028535986.1
5	5	0.848	XP_003886019.1	XP_012765222.2	XP_029222189.1	XP_034422068.1	XP_028535985.1
5	5	0.733	XP_003885387.1	XP_012765225.2	XP_029215051.1	XP_034422065.1	XP_028535982.1
5	5	0.758	XP_003884748.1	XP_012765239.2	XP_029221130.1	XP_034422051.1	XP_028535968.1
5	5	0.576	XP_003885586.1	XP_012765241.1	XP_029218891.1	XP_034422049.1	XP_028535966.1
